 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Cats in Space!,,,,100'x70' (7000 sq. ft.),100,70,,MZ LB UB , , , ,,Fire,FireCircle, ,Bar, , , ,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We would prefer not to be placed.,,,,,1st Choice,2nd Choice,3rd Choice,, ,No,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes,FireCircle,Yes,100'x70' (7000 sq. ft.),100',70' (7000 sq. ft.),100,70, (7000 sq. ft.),7000,Zone 3,3,SZ 3,,,,Big,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1,1,0,3,3,4,4,14,Theme Camp,,,,,,0.00%,21.43%,21.43%,28.57%,28.57%,,,,,,,1,2,3,,MZ ,LB ,UB ,MZ LB UB 
Principles Fantastica,,,,30'x30' (900 sq. ft.),30,30,Art Support Camp,RS NP MF , , , ,, , ,Kids, , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,2nd Choice,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,, ,No, ,,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,,3,2,1,,,,,RS ,NP ,MF ,RS NP MF 
Camp Foxfur,,,,27ft wide front by 41ft long,27,42,Work Support Camp,MF NP UB , , , ,,Fire, , , ,ADA, , ,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,,,,3rd Choice,, ,No,Trees,Yes,ADA,Yes, , ,No, ,,, ,No, ,,Fire,Yes, ,,27ft wide front by 41ft long,27,42,27,42,,1134,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,2,,,,3,,MF ,NP ,UB ,MF NP UB 
Best Butt,,,,80x70,80,70,,MZ LB MF , , , ,, , , ,Bar, , ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,3rd Choice,,,1st Choice,2nd Choice,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,80x70,80,70,80,70,,5600,Zone 3,3,SZ 3,,,,Big,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1, ,0,3,4,4,3,14,Theme Camp,,,,,,0.00%,21.43%,28.57%,28.57%,21.43%,,,,3,,,1,2,,,MZ ,LB ,MF ,MZ LB MF 
Absinthe Minded,,,,20'x60' (1200 sq. ft.),20,60,,MF FE RS , , , ,, , , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Night (Midnight-Sunrise)",Afternoon (noon-4pm), , ,1,1, , , ,1,1, , ,1, , ,1, ,1, , , ,0,2,2,2,1,7,Theme Camp,,,,,,0.00%,28.57%,28.57%,28.57%,14.29%,,,2,1,,3,,,,,MF ,FE ,RS ,MF FE RS 
Cirque De Licious!,,,,100'x70',100,70,Morning,LB MZ UB , ,Coffee, ,, , , , , , ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,2nd Choice,1st Choice,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,100'x70',100',70',100,70,,7000,Zone 3,3,SZ 3,,yes,,No,None,Morning (Sunrise-noon),Morning (Sunrise-noon),Morning (Sunrise-noon), , , , , ,1, , , , ,1, , , , ,1, , , , ,3,0,0,0,0,3,Theme Camp,Morning,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,Morning,Morning,,,,,2,1,3,,LB ,MZ ,UB ,LB MZ UB 
Haus Anima,,,,40'x60' (2400 sq. ft.),40,60,,MF UB LB ,Tea, , ,,Fire, , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,3rd Choice,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,,yes,No,Late Night (Midnight-Sunrise),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , , ,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1, ,0,3,3,3,3,12,Theme Camp,,,,,,0.00%,25.00%,25.00%,25.00%,25.00%,,,,1,,,,3,2,,MF ,UB ,LB ,MF UB LB 
Undisclosed Location,,,,40'x100' (4000 sq. ft.),40,100,Late Afternoon,MF NP , , ,Medium,, , ,Kids,Bar,ADA, ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,40'x100' (4000 sq. ft.),40',100' (4000 sq. ft.),40,100, (4000 sq. ft.),4000,Zone 2,2,SZ 2,,,,Medium,Late Afternoon (4pm-8pm),"Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",Late Afternoon (4pm-8pm), , ,1, , ,1, ,1,1, ,1, ,1,1, , , ,1, , ,2,0,4,2,0,8,Theme Camp,,,Late Afternoon,,,25.00%,0.00%,50.00%,25.00%,0.00%,Late Afternoon,Late Afternoon,,1,2,,,,,,MF ,NP ,,MF NP 
Camp Chai,,,,30'x30' (900 sq. ft.),30,30,Afternoon,MF RS MZ ,Tea, , ,, , ,Kids, , , ,UnEvEn,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,2nd Choice,3rd Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,yes,No,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), ,1, , , , ,1, , , , ,1, , , , ,1, , , ,0,4,0,0,0,4,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,,1,,2,3,,,,MF ,RS ,MZ ,MF RS MZ 
Hang Loose,,,,40'x70' (2800 sq. ft.) OR 70'x40' (2800 sq. ft.) - Depending on placement orientation to road/path,40,70,,MF RS NP , , , ,Food, , , , , , ,UnEvEn, ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,3rd Choice,2nd Choice,,,,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x70' (2800 sq. ft.) OR 70'x40' (2800 sq. ft.) - Depending on placement orientation to road/path,40,7 0,40,70,,2800,Zone 2,2,SZ 2,Food,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,3,3,4,4,2,16,Theme Camp,,,,,,18.75%,18.75%,25.00%,25.00%,12.50%,,,,1,3,2,,,,,MF ,RS ,NP ,MF RS NP 
The Cult of the Peach,,,,50'x60' (3000 sq. ft.),50,60,,MF RS MZ , , ,Medium,,Fire, ,Kids,Bar, , ,UnEvEn,Trees,4,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,2nd Choice,3rd Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,,,,Medium,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,0,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,,1,,2,3,,,,MF ,RS ,MZ ,MF RS MZ 
Cracked Pot,,,,20'x60' (1200 sq. ft.),20,60,Evening,RS NP FE , ,Coffee, ,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,3rd Choice,,2nd Choice,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,yes,,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Evening (8pm-Midnight)",Evening (8pm-Midnight),"Afternoon (noon-4pm), Evening (8pm-Midnight)", , , ,1, , ,1, ,1, , , , ,1, , ,1, ,1, ,0,2,0,4,0,6,Theme Camp,,,,Evening,,0.00%,33.33%,0.00%,66.67%,0.00%,Evening,Evening,3,,2,1,,,,,RS ,NP ,FE ,RS NP FE 
Tea Time,,,,30'x30' (900 sq. ft.),30,30,,MZ MF UB ,Tea,Coffee, ,, , , , , , ,UnEvEn,Trees,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 3,3,SZ 3,,yes,yes,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm)", , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,3,3,3,3,3,15,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,2,,,1,,3,,MZ ,MF ,UB ,MZ MF UB 
SLOW ROLL,,,,40'x60' (2400 sq. ft.),40,60,MorningAfternoon,FE NP MF ,Tea, , ,,Fire, , , , , ,UnEvEn,Trees,2,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,,,yes,No,"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)",1,1, , , ,1,1,1, , ,1,1, , , ,1,1, , , ,4,4,1,0,0,9,Theme Camp,Morning,Afternoon,,,,44.44%,44.44%,11.11%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,1,3,2,,,,,,FE ,NP ,MF ,FE NP MF 
Camp Take The Heat,,,,40'x70' (2800 sq. ft.),40,70,,UB MF FE , , , ,Food,Fire, , ,Bar, , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We would prefer not to be placed.,3rd Choice,2nd Choice,,,,,1st Choice,, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,40'x70' (2800 sq. ft.),40',70' (2800 sq. ft.),40,70, (2800 sq. ft.),2800,Zone 2,2,SZ 2,Food,,,No,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , ,1,1,1, ,1,1,1, ,1, ,1,1, , ,1,1,1,1,1,2,4,4,12,Theme Camp,,,,,,8.33%,8.33%,16.67%,33.33%,33.33%,,,3,2,,,,,1,,UB ,MF ,FE ,UB MF FE 
Low Bar,,,,30'x50' (1500 sq. ft.),30,50,Work Support Camp,RS FE , , , ,,Fire, , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,,,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,,Fire,Yes, ,,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,2,,,1,,,,,RS ,FE ,,RS FE 
Babe Camp,,,,60'x60' (3600 sq. ft.),60,60,,MZ LB MF ,Tea, , ,Food, , ,Kids, ,ADA, ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,3rd Choice,,,1st Choice,2nd Choice,,,UnEvEn,Yes,Trees,Yes,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 3,3,SZ 3,Food,,yes,Big,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1,1,0,3,3,4,4,14,Theme Camp,,,,,,0.00%,21.43%,21.43%,28.57%,28.57%,,,,3,,,1,2,,,MZ ,LB ,MF ,MZ LB MF 
Lollypopolus,,,,40'x80' (3200 sq. ft.),40,80,,UB LB MZ , ,Coffee,Small,Food,Fire, ,Kids,Bar,ADA, ,UnEvEn,Trees,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,3rd Choice,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,Food,yes,,Small,Evening (8pm-Midnight),"Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm)", , , ,1, ,1, ,1,1, ,1, ,1,1, ,1, ,1, , ,3,0,3,3,0,9,Theme Camp,,,,,,33.33%,0.00%,33.33%,33.33%,0.00%,,,,,,,3,2,1,,UB ,LB ,MZ ,UB LB MZ 
WET TRIBE,,,,60'x60' (3600 sq. ft.),60,60,Late Night,UB MZ MF ,Tea, ,Small,, , , ,Bar, ,XXX,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,,2nd Choice,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes,XXX,Yes, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,yes,Small,Late Night (Midnight-Sunrise),"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , , ,1, , , ,1,1,1, , ,1,1,1, , ,1,1,2,0,0,3,4,9,Theme Camp,,,,,Late Night,22.22%,0.00%,0.00%,33.33%,44.44%,Late Night,Late Night,,3,,,2,,1,,UB ,MZ ,MF ,UB MZ MF 
Fortunia,,,,50'x60' (3000 sq. ft.),50,60,Evening,FE NP RS ,Tea, , ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 1,1,SZ 1,,,yes,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,3,3,4,0,10,Theme Camp,,,,Evening,,0.00%,30.00%,30.00%,40.00%,0.00%,Evening,Evening,1,,2,3,,,,,FE ,NP ,RS ,FE NP RS 
Costco Soulmate Trading Outlet,,,,30'x50' (1500 sq. ft.),30,50,Afternoon,RS MF , , , ,, , , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,No,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), ,1, , , , ,1, , , , ,1, , , , ,1, , , ,0,4,0,0,0,4,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,,2,,1,,,,,RS ,MF ,,RS MF 
Tiny Tramp Espresso-Tinis,,,,30'x50' (1500 sq. ft.),30,50,Afternoon,MF FE NP , , , ,,Fire, , ,Bar, , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,3rd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,No,None,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), , , , , , ,1, , , , ,1, , , , ,1, , , ,0,3,0,0,0,3,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,2,1,3,,,,,,MF ,FE ,NP ,MF FE NP 
Church of Party,,,,100'x50' (5000 sq. ft.),100,50,Evening,MZ LB , , , ,, , , , , , ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,1st Choice,2nd Choice,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 3,3,SZ 3,,,,Big,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, , , , ,1,1, , , ,1,1, , ,1,1, ,0,0,2,4,2,8,Theme Camp,,,,Evening,,0.00%,0.00%,25.00%,50.00%,25.00%,Evening,Evening,,,,,1,2,,,MZ ,LB ,,MZ LB 
The Great Green Room,,,,40'x60' (2400 sq. ft.),40,60,Late Afternoon,FE NP MF , , , ,Food, , ,Kids+, , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,Food,,,No,Late Afternoon (4pm-8pm),"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , ,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, , ,3,3,4,0,0,10,Theme Camp,,,Late Afternoon,,,30.00%,30.00%,40.00%,0.00%,0.00%,Late Afternoon,Late Afternoon,1,3,2,,,,,,FE ,NP ,MF ,FE NP MF 
Drumamine,,,,60'x60' (3600 sq. ft.),60,60,Evening,MZ LB , , ,Medium,, , , ,Bar, , ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,1st Choice,2nd Choice,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 3,3,SZ 3,,,,Medium,Evening (8pm-Midnight),"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1, , , ,1,1,1, ,1,1,1,1, ,1,1,1, ,0,2,3,4,2,11,Theme Camp,,,,Evening,,0.00%,18.18%,27.27%,36.36%,18.18%,Evening,Evening,,,,,1,2,,,MZ ,LB ,,MZ LB 
